event_id,hot_score
EVT_000001,45.8
EVT_000002,40.6
EVT_000003,41.6
EVT_000004,47.3
EVT_000005,43.0
EVT_000006,41.6
EVT_000007,45.5
EVT_000008,42.0
EVT_000009,46.9
EVT_000010,49.4
EVT_000011,45.8
EVT_000012,49.9
EVT_000013,23.8
EVT_000014,47.0
EVT_000015,55.1
EVT_000016,43.2
EVT_000017,41.8
EVT_000018,50.7
EVT_000019,44.0
EVT_000020,44.9
EVT_000021,39.4
EVT_000022,30.1
EVT_000023,40.8
EVT_000024,46.0
EVT_000025,31.1
EVT_000026,51.7
EVT_000027,42.1
EVT_000028,44.5
EVT_000029,48.1
EVT_000030,31.7
EVT_000031,58.8
EVT_000032,44.5
EVT_000033,43.9
EVT_000034,46.2
EVT_000035,41.0
EVT_000036,52.0
EVT_000037,43.5
EVT_000038,46.6
EVT_000039,43.6
EVT_000040,48.4
EVT_000041,45.4
EVT_000042,50.0
EVT_000043,25.0
EVT_000044,44.3
EVT_000045,45.6
EVT_000046,42.4
EVT_000047,40.3
EVT_000048,47.5
EVT_000049,41.7
EVT_000050,47.5
EVT_000051,44.1
EVT_000052,49.4
EVT_000053,41.2
EVT_000054,54.0
EVT_000055,48.9
EVT_000056,55.7
EVT_000057,40.2
EVT_000058,66.4
EVT_000059,51.1
EVT_000060,38.6
EVT_000061,38.9
EVT_000062,42.2
EVT_000063,49.1
EVT_000064,41.9
EVT_000065,49.2
EVT_000066,49.0
EVT_000067,47.4
EVT_000068,42.5
EVT_000069,38.4
EVT_000070,36.0
EVT_000071,43.4
EVT_000072,58.1
EVT_000073,35.9
EVT_000074,49.7
EVT_000075,42.4
EVT_000076,33.1
EVT_000077,47.8
EVT_000078,58.0
EVT_000079,36.3
EVT_000080,48.9
EVT_000081,44.5
EVT_000082,46.5
EVT_000083,45.6
EVT_000084,46.7
EVT_000085,43.6
EVT_000086,52.8
EVT_000087,52.4
EVT_000088,40.2
EVT_000089,43.9
EVT_000090,47.9
EVT_000091,44.7
EVT_000092,44.6
EVT_000093,46.3
EVT_000094,43.4
EVT_000095,42.1
EVT_000096,62.0
EVT_000097,60.6
EVT_000098,52.0
EVT_000099,42.8
EVT_000100,43.2
EVT_000101,46.6
EVT_000102,49.4
EVT_000103,36.6
EVT_000104,46.7
EVT_000105,41.2
EVT_000106,43.5
EVT_000107,44.6
EVT_000108,48.3
EVT_000109,46.7
EVT_000110,39.6
EVT_000111,50.5
EVT_000112,52.0
EVT_000113,56.2
EVT_000114,52.9
